Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,4.84,4.94,4.66,4.77,9837300,4.643219
2010-01-05,4.79,5.37,4.71,5.31,25212000,5.168866
2010-01-06,5.19,5.38,5.0,5.09,16597900,4.954714
2010-01-07,5.06,5.43,5.05,5.24,14033400,5.100726
2010-01-08,5.27,5.43,5.06,5.14,12760000,5.003384
2010-01-11,5.13,5.23,4.94,5.04,10952900,4.906042
2010-01-12,5.06,5.15,4.96,5.08,7870300,4.944979
2010-01-13,5.12,5.5,5.02,5.48,16400500,5.334348
2010-01-14,5.46,5.71,5.41,5.59,12767100,5.441424
2010-01-15,5.64,5.84,5.43,5.5,10985300,5.353816
2010-01-19,5.5,5.73,5.5,5.64,7807700,5.490094999999999
2010-01-20,5.65,5.89,5.61,5.74,13289100,5.587437
2010-01-21,5.88,5.96,5.42,5.46,15641000,5.314879
2010-01-22,5.48,5.52,5.11,5.24,11463400,5.100726
2010-01-25,5.34,5.5,5.15,5.22,8168200,5.081258
2010-01-26,5.21,5.28,5.05,5.05,8787500,4.915776999999999
2010-01-27,5.1,5.17,4.47,4.86,21655400,4.730827
2010-01-28,4.99,5.22,4.71,5.14,19157300,5.003384
2010-01-29,5.23,5.61,5.17,5.31,19094600,5.168866
2010-02-01,5.43,5.63,5.35,5.6,10965100,5.451158
2010-02-02,5.65,6.0,5.62,5.96,14363700,5.80159
2010-02-03,5.94,5.98,5.65,5.66,9137400,5.509563
2010-02-04,5.82,5.82,5.47,5.49,11591200,5.344082
2010-02-05,5.5,6.03,5.43,5.89,18555800,5.73345
2010-02-08,5.88,6.11,5.82,5.93,9765900,5.772387
2010-02-09,6.15,6.49,6.15,6.44,20482500,6.268832
2010-02-10,6.39,6.43,6.21,6.31,9782200,6.1422870000000005
2010-02-11,6.3,6.52,6.22,6.32,14084500,6.1520209999999995
2010-02-12,6.27,6.91,6.19,6.81,17096200,6.628997999999999
2010-02-16,6.93,7.0,6.75,6.88,21834000,6.697137
2010-02-17,6.89,6.97,6.76,6.8,9148800,6.619264
2010-02-18,6.75,6.81,6.65,6.73,6967700,6.551124
2010-02-19,6.65,6.96,6.65,6.93,6210700,6.745808
2010-02-22,6.97,7.23,6.97,7.02,11828600,6.833416000000001
2010-02-23,7.09,7.23,6.92,7.09,13810400,6.901555999999999
2010-02-24,7.14,7.21,7.06,7.17,8840200,6.979429
2010-02-25,7.06,7.14,6.91,7.08,7673100,6.891821
2010-02-26,7.06,7.4,7.06,7.33,8577100,7.1351770000000005
