Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,11.75,11.91,11.6,11.89,774400,9.464878
2010-01-05,11.93,11.95,11.69,11.81,642600,9.401195
2010-01-06,11.73,12.09,11.73,11.85,1144200,9.433036999999999
2010-01-07,11.78,11.97,11.58,11.76,595600,9.361393
2010-01-08,11.73,11.75,11.49,11.5,412000,9.154424
2010-01-11,11.68,12.09,11.57,11.59,453400,9.226067
2010-01-12,11.43,11.51,11.17,11.18,567000,8.899692
2010-01-13,11.28,11.38,11.25,11.38,415800,9.058899
2010-01-14,11.27,11.44,11.24,11.34,263400,9.027058
2010-01-15,11.4,11.5,11.28,11.39,791300,9.06686
2010-01-19,11.39,11.76,11.33,11.72,584800,9.329552
2010-01-20,11.57,11.79,11.47,11.75,630700,9.353433
2010-01-21,11.8,11.84,11.52,11.56,1092600,9.202186
2010-01-22,11.57,11.71,11.43,11.48,811500,9.138503
2010-01-25,11.59,11.59,11.36,11.52,635600,9.170345
2010-01-26,11.47,11.52,11.3,11.35,463000,9.035017999999999
2010-01-27,11.31,11.41,11.09,11.4,581600,9.074819999999999
2010-01-28,11.3,11.4,11.08,11.3,601800,8.995216000000001
2010-01-29,11.3,11.52,11.16,11.35,693800,9.035017999999999
2010-02-01,11.42,11.62,11.33,11.46,495800,9.122582000000001
2010-02-02,11.51,11.83,11.49,11.72,844500,9.329552
2010-02-03,11.63,11.73,11.55,11.61,531700,9.241987
2010-02-04,11.55,11.67,11.13,11.18,610800,8.899692
2010-02-05,11.2,11.38,11.01,11.35,420100,9.035017999999999
2010-02-08,11.3,11.44,11.1,11.13,413200,8.85989
2010-02-09,11.28,11.42,10.92,11.08,646600,8.820088
2010-02-10,11.05,11.33,10.8,11.13,517900,8.85989
2010-02-11,11.07,11.34,10.88,11.29,361200,8.987256
2010-02-12,11.11,11.38,11.08,11.36,402800,9.042978
2010-02-16,11.5,11.61,11.32,11.59,441800,9.226067
2010-02-17,11.68,11.74,11.57,11.6,575000,9.234028
2010-02-18,11.62,11.87,11.52,11.84,348000,9.425075999999999
2010-02-19,11.79,12.18,11.78,12.07,656800,9.608164
2010-02-22,12.16,12.33,12.0,12.0,868600,9.552442
2010-02-23,10.78,11.66,10.78,11.52,2374000,9.170345
2010-02-24,11.6,11.6,11.46,11.5,980100,9.154424
2010-02-25,11.33,11.52,11.32,11.43,759400,9.098701
2010-02-26,11.41,11.46,11.24,11.28,1137400,8.979295
2010-03-01,11.33,11.53,11.25,11.34,631600,9.027058
2010-03-02,11.4,11.53,11.1,11.17,1617200,8.891732000000001
2010-03-03,11.23,11.38,11.17,11.31,1791800,9.003177
2010-03-04,11.31,11.74,11.31,11.73,401500,9.337512
2010-03-05,11.78,12.29,11.78,12.21,896900,9.719610000000001
2010-03-08,12.27,12.49,12.23,12.48,685100,9.934539
2010-03-09,12.46,13.06,12.4,12.66,1824800,10.077826
2010-03-10,12.64,12.82,12.55,12.66,820100,10.077826
2010-03-11,12.49,12.56,12.32,12.56,1018300,10.077826
2010-03-12,12.64,12.79,12.59,12.72,784300,10.206206
2010-03-15,12.73,12.86,12.6,12.8,580000,10.270396
2010-03-16,12.9,13.15,12.85,13.1,852900,10.511108
2010-03-17,13.1,13.31,13.04,13.13,533300,10.535179
2010-03-18,13.1,13.29,13.0,13.18,454200,10.575298
2010-03-19,12.87,13.31,12.85,12.87,1695600,10.326562
2010-03-22,12.77,12.94,12.65,12.9,1123600,10.350633
2010-03-23,12.87,13.13,12.75,13.06,725100,10.479013
2010-03-24,12.95,13.32,12.95,13.04,614100,10.462966
2010-03-25,13.13,13.35,12.89,12.9,854100,10.350633
2010-03-26,12.99,13.16,12.9,13.0,697600,10.430871
2010-03-29,13.01,13.13,12.92,13.03,574000,10.454941999999999
2010-03-30,13.06,13.15,12.96,13.07,513800,10.487036999999999
2010-03-31,13.04,13.04,12.62,12.68,727500,10.174111
2010-04-01,12.73,12.79,12.52,12.71,536600,10.198182000000001
2010-04-05,12.75,13.04,12.73,13.04,330800,10.462966
2010-04-06,12.9,13.41,12.9,13.4,574500,10.75182
2010-04-07,13.34,13.68,13.34,13.56,1028700,10.880201
2010-04-08,13.52,13.65,13.39,13.43,706000,10.775892
2010-04-09,13.42,13.84,13.31,13.79,542600,11.064747
2010-04-12,13.71,13.86,13.6,13.63,673800,10.936367
2010-04-13,13.62,14.17,13.5,14.1,785300,11.313483
2010-04-14,14.17,14.41,14.01,14.39,704100,11.546172
2010-04-15,14.32,14.39,13.69,13.69,713400,10.984509
2010-04-16,13.6,13.71,13.2,13.36,1328800,10.719725
2010-04-19,13.29,13.54,13.15,13.5,647800,10.832058
2010-04-20,13.55,13.61,13.36,13.61,894000,10.920319000000001
2010-04-21,13.6,14.14,13.58,14.09,556800,11.305458999999999
2010-04-22,13.92,14.22,13.82,14.13,328400,11.337553999999999
2010-04-23,14.19,14.5,14.03,14.5,496800,11.634433
2010-04-26,14.44,14.87,14.44,14.83,556800,11.899216000000001
2010-04-27,14.72,14.89,14.32,14.34,832400,11.506053
2010-04-28,14.43,14.52,14.19,14.22,648800,11.409768
2010-04-29,14.4,15.16,14.4,15.16,647900,12.164000000000001
2010-04-30,15.16,15.24,14.79,15.02,1180700,12.051668
2010-05-03,15.08,15.78,14.97,15.56,1209000,12.48495
2010-05-04,15.5,15.78,15.04,15.6,1074100,12.517045
2010-05-05,15.41,15.99,15.25,15.83,1594800,12.701591
2010-05-06,15.72,15.99,14.65,15.37,2038700,12.332498
2010-05-07,15.22,15.59,14.79,15.05,1780900,12.075739
2010-05-10,15.89,16.32,15.64,15.92,1387400,12.773805
2010-05-11,15.62,16.08,15.45,15.86,1471900,12.725662
2010-05-12,15.95,16.26,15.85,16.23,1736300,13.02254
2010-05-13,16.17,16.26,15.7,15.84,811400,12.709615
2010-05-14,15.71,15.71,15.4,15.65,995100,12.557163000000001
2010-05-17,15.75,16.200001,15.12,15.87,1269900,12.733686
2010-05-18,16.120001000000002,16.190001000000002,15.02,15.17,958300,12.172024
2010-05-19,15.05,15.32,14.59,14.93,767800,11.979453999999999
2010-05-20,14.44,14.78,14.0,14.02,1237100,11.249293
2010-05-21,13.79,14.64,13.7,14.64,1248100,11.746765
2010-05-24,14.61,14.83,14.41,14.44,622500,11.58629
2010-05-25,13.85,14.44,13.72,14.37,728500,11.530124
2010-05-26,14.62,14.97,14.34,14.46,895800,11.602338
2010-05-27,14.9,15.28,14.72,15.27,772200,12.252261
2010-05-28,15.23,15.26,14.8,15.04,987400,12.067715
2010-06-01,14.91,14.97,14.4,14.4,1037900,11.554195
2010-06-02,14.39,14.83,14.27,14.75,1151300,11.835026
2010-06-03,14.86,14.96,14.53,14.59,836700,11.706646000000001
2010-06-04,14.11,14.43,13.86,13.88,977900,11.13696
2010-06-07,13.92,14.25,13.71,13.74,577300,11.024628
2010-06-08,13.77,13.92,13.29,13.9,711900,11.153007
2010-06-09,14.02,14.35,13.86,14.04,784700,11.26534
2010-06-10,14.29,14.49,14.12,14.44,1294300,11.58629
2010-06-11,14.11,14.6,13.89,14.58,835200,11.780203
2010-06-14,14.65,15.15,14.55,15.1,1703000,12.200348
2010-06-15,15.06,15.62,14.9,15.52,1519900,12.539695
2010-06-16,15.38,15.55,14.85,14.97,2043200,12.095312
2010-06-17,14.97,15.0,14.59,14.9,2218000,12.038753
2010-06-18,14.97,14.98,14.74,14.89,1376600,12.030674000000001
2010-06-21,15.06,15.11,14.68,14.75,942700,11.917558
2010-06-22,14.8,15.09,14.58,14.6,1671400,11.796363000000001
2010-06-23,14.55,14.78,14.35,14.57,631500,11.772122999999999
2010-06-24,14.49,14.62,14.15,14.23,622400,11.497413
2010-06-25,14.3,14.7,14.11,14.56,794800,11.764044
2010-06-28,14.6,14.66,14.37,14.45,480700,11.675167
2010-06-29,14.21,14.21,13.83,13.91,886100,11.238863
2010-06-30,13.89,14.35,13.79,13.9,994000,11.230783
2010-07-01,13.9,14.01,13.56,13.85,1005100,11.190385000000001
2010-07-02,13.98,13.98,13.27,13.47,1013300,10.883357
2010-07-06,13.81,13.84,12.94,13.04,964800,10.535929
2010-07-07,13.14,13.89,13.14,13.83,1150000,11.174225999999999
2010-07-08,13.98,14.13,13.71,13.93,1076000,11.255023
2010-07-09,13.88,14.23,13.85,14.13,705500,11.416617
2010-07-12,14.04,14.32,13.95,14.25,602800,11.513573
2010-07-13,14.46,14.86,14.36,14.67,869800,11.852921
2010-07-14,14.58,14.6,14.23,14.31,1083600,11.562052
2010-07-15,14.33,14.34,13.92,14.23,694600,11.497413
2010-07-16,14.11,14.14,13.8,13.87,1419800,11.206544000000001
2010-07-19,13.88,13.99,13.71,13.95,754300,11.271182000000001
2010-07-20,13.78,14.22,13.57,14.2,645200,11.473175
2010-07-21,14.34,14.38,13.95,14.05,1290900,11.351979
2010-07-22,14.25,14.8,14.25,14.71,877500,11.885239
2010-07-23,14.61,15.03,14.38,15.01,797600,12.127631
2010-07-26,15.08,15.45,14.92,15.43,922400,12.466978
2010-07-27,15.52,15.67,15.24,15.43,779400,12.466978
2010-07-28,15.35,15.6,15.29,15.43,524900,12.466978
2010-07-29,15.64,15.73,15.15,15.36,635100,12.41042
2010-07-30,15.15,15.64,15.0,15.51,1468300,12.531616
2010-08-02,15.75,15.96,15.59,15.79,1150600,12.757847
2010-08-03,15.72,16.049999,15.54,15.82,1443200,12.782086
2010-08-04,15.82,16.0,15.69,15.85,1021200,12.806326
2010-08-05,15.7,15.95,15.65,15.78,504900,12.749767
2010-08-06,15.55,15.75,15.28,15.66,499100,12.652811
2010-08-09,15.8,16.08,15.66,16.030001000000002,418100,12.95176
2010-08-10,15.76,15.87,15.49,15.72,852000,12.701289
2010-08-11,15.39,15.6,15.24,15.4,776800,12.442738
2010-08-12,15.15,15.59,15.05,15.17,1040000,12.256905999999999
2010-08-13,15.12,15.17,14.94,14.94,720000,12.071072000000001
2010-08-16,14.82,15.29,14.7,15.16,426100,12.248826
2010-08-17,15.34,15.73,15.21,15.66,598700,12.652811
2010-08-18,15.69,15.92,15.38,15.64,458100,12.636652
2010-08-19,15.55,15.65,15.14,15.14,819100,12.232667
2010-08-20,15.07,15.16,14.91,15.11,449600,12.208427
2010-08-23,15.18,15.24,14.81,14.83,380200,11.982196
2010-08-24,14.62,14.98,14.44,14.81,618500,11.966037
2010-08-25,14.71,15.28,14.65,15.23,691900,12.305383
2010-08-26,15.26,15.33,14.9,15.0,405400,12.119551
2010-08-27,15.15,15.18,14.73,15.18,424100,12.264986
2010-08-30,15.1,15.27,14.94,15.02,660100,12.135710000000001
2010-08-31,14.96,15.36,14.85,15.29,543400,12.353862
2010-09-01,15.52,15.98,15.39,15.98,601400,12.911361
2010-09-02,15.97,16.01,15.81,15.95,458000,12.887122
2010-09-03,16.09,16.379998999999998,16.09,16.290001,745100,13.161832999999998
2010-09-07,16.23,16.290001,16.0,16.01,327500,12.935601
2010-09-08,16.09,16.309998999999998,15.96,16.049999,348700,12.967919
2010-09-09,16.27,16.27,15.56,15.7,672700,12.685130000000001
2010-09-10,15.72,15.96,15.67,15.84,330000,12.798246
2010-09-13,15.98,16.24,15.83,16.190001000000002,343200,13.164142000000002
2010-09-14,16.17,16.469998999999998,16.059998999999998,16.35,533900,13.294239000000001
2010-09-15,16.27,16.620001000000002,16.200001,16.6,901000,13.497514
2010-09-16,16.52,16.65,16.27,16.51,482200,13.424335000000001
2010-09-17,16.620001000000002,16.77,16.360001,16.59,1059500,13.489382999999998
2010-09-20,16.67,17.1,16.559998999999998,17.08,1256400,13.887804000000001
2010-09-21,17.07,17.07,16.459999,16.57,1057800,13.473120999999999
2010-09-22,16.49,16.67,16.32,16.41,3352600,13.343024
2010-09-23,16.209999,16.459999,16.030001000000002,16.030001000000002,1198800,13.034046
2010-09-24,16.299999,16.799999,16.25,16.700001,612000,13.578825
2010-09-27,16.68,16.74,16.16,16.309998999999998,715500,13.261714000000001
2010-09-28,16.360001,16.42,15.92,16.299999,900200,13.253582000000002
2010-09-29,16.190001000000002,16.309998999999998,15.97,16.25,792200,13.212928
2010-09-30,16.35,16.530001000000002,16.02,16.040001,683900,13.042177
2010-10-01,16.16,16.299999,15.97,16.17,681300,13.147879999999999
2010-10-04,16.129998999999998,16.25,15.89,16.23,442100,13.196666
2010-10-05,16.42,16.809998999999998,16.299999,16.73,872800,13.603217
2010-10-06,16.66,16.76,16.09,16.15,1303400,13.131617000000002
2010-10-07,16.280001000000002,16.35,15.92,15.98,727800,12.99339
2010-10-08,16.02,16.139999,15.81,16.049999,515100,13.050307
2010-10-11,16.07,16.09,15.91,16.0,444300,13.009652
2010-10-12,16.0,16.389999,15.91,16.040001,948600,13.042177
2010-10-13,16.15,16.610001,16.040001,16.379998999999998,989600,13.318631
2010-10-14,16.4,16.440001000000002,16.110001,16.280001000000002,506700,13.237322
2010-10-15,16.25,16.27,15.98,16.0,838100,13.009652
2010-10-18,16.059998999999998,16.209999,15.95,16.209999,497500,13.180403
2010-10-19,16.0,16.290001,15.78,15.94,1332900,12.960866000000001
2010-10-20,16.02,16.43,16.01,16.17,866600,13.147879999999999
2010-10-21,16.200001,16.32,15.96,16.110001,728100,13.099094000000001
2010-10-22,16.18,16.200001,15.97,16.120001000000002,415300,13.107225
2010-10-25,16.200001,16.309998999999998,16.16,16.23,1165700,13.196666
2010-10-26,16.1,16.42,15.95,16.15,571900,13.131617000000002
2010-10-27,16.02,16.17,15.71,15.84,705200,12.879556
2010-10-28,15.95,16.07,15.64,15.82,586100,12.863292999999999
2010-10-29,15.81,16.459999,15.81,16.200001,1369700,13.172273
2010-11-01,16.23,16.700001,16.23,16.610001,875400,13.505645999999999
2010-11-02,16.879998999999998,17.07,16.82,16.860001,1239400,13.708920999999998
2010-11-03,16.85,16.9,16.629998999999998,16.799999,585300,13.660134
2010-11-04,17.01,17.26,16.889999,17.25,942200,14.026031
2010-11-05,17.24,17.42,17.200001,17.32,470600,14.082948000000002
2010-11-08,17.209999,17.280001000000002,16.98,17.139999,465200,13.936589000000001
2010-11-09,17.16,17.25,16.5,16.58,841400,13.481252
2010-11-10,16.639999,16.83,16.459999,16.6,429300,13.497514
2010-11-11,16.450001,16.75,16.450001,16.610001,391200,13.505645999999999
2010-11-12,16.48,16.68,16.360001,16.389999,366900,13.326761999999999
2010-11-15,16.440001000000002,16.49,16.110001,16.15,426200,13.131617000000002
2010-11-16,15.98,16.120001000000002,15.39,15.53,561400,12.627493
2010-11-17,15.52,15.73,15.44,15.67,325800,12.741328
2010-11-18,15.84,15.88,15.66,15.71,347600,12.773852
2010-11-19,15.58,15.73,15.54,15.69,312600,12.757589999999999
2010-11-22,15.61,15.84,15.6,15.78,302600,12.830769
2010-11-23,15.58,15.78,15.52,15.64,528000,12.716935000000001
2010-11-24,15.82,16.309998999999998,15.82,16.27,680200,13.22919
2010-11-26,16.139999,16.370001000000002,16.139999,16.290001,148600,13.245453
2010-11-29,16.23,16.290001,15.95,16.200001,497500,13.172273
2010-11-30,16.030001000000002,16.15,15.95,16.02,1321200,13.025915
2010-12-01,16.309998999999998,16.42,16.139999,16.360001,1144000,13.302370000000002
2010-12-02,16.41,16.6,16.32,16.59,1016600,13.489382999999998
2010-12-03,16.5,16.610001,16.32,16.57,274900,13.473120999999999
2010-12-06,16.549999,16.82,16.309998999999998,16.77,682100,13.635742
2010-12-07,16.940001000000002,17.35,16.9,17.23,1607800,14.009769
2010-12-08,17.27,17.27,16.959999,17.07,1638900,13.960698
2010-12-09,17.17,17.25,17.01,17.08,1206000,13.968876999999999
2010-12-10,17.08,17.52,17.08,17.280001000000002,1242200,14.132447
2010-12-13,17.360001,17.700001,17.33,17.5,1234100,14.312373999999998
2010-12-14,17.52,17.52,17.0,17.049999,1664500,13.944341
2010-12-15,16.98,17.219998999999998,16.860001,16.860001,1836300,13.78895
2010-12-16,16.9,17.09,16.83,17.02,927400,13.919806
2010-12-17,17.059998999999998,17.200001,16.99,17.049999,1240800,13.944341
2010-12-20,17.1,17.299999,17.1,17.18,517700,14.050661999999999
2010-12-21,17.24,17.450001,17.139999,17.450001,335800,14.271482
2010-12-22,17.440001000000002,17.610001,17.360001,17.540001,818400,14.345089000000002
2010-12-23,17.48,17.540001,17.27,17.360001,799700,14.197875
2010-12-27,17.33,17.49,17.32,17.459999,250700,14.279658999999999
2010-12-28,17.49,17.629998999999998,17.35,17.540001,743100,14.345089000000002
2010-12-29,17.620001000000002,17.620001000000002,17.5,17.57,280900,14.369623
2010-12-30,17.59,17.639999,17.540001,17.540001,360500,14.345089000000002
2010-12-31,17.51,17.65,17.33,17.4,410300,14.230589000000002
2011-01-03,17.52,17.940001000000002,17.41,17.889999,481400,14.631335
2011-01-04,17.940001000000002,17.98,17.389999,17.700001,734100,14.475944
2011-01-05,17.629998999999998,17.98,17.59,17.75,711400,14.516835999999998
2011-01-06,17.719998999999998,17.799999,17.469998999999998,17.5,542600,14.312373999999998
2011-01-07,17.59,17.799999,17.389999,17.67,1195600,14.451407999999999
2011-01-10,17.620001000000002,17.99,17.450001,17.870001000000002,668000,14.614979
2011-01-11,17.93,17.98,17.74,17.870001000000002,498300,14.614979
2011-01-12,17.99,18.049999,17.879998999999998,18.02,608100,14.737656
2011-01-13,17.99,18.059998999999998,17.879998999999998,18.059998999999998,350500,14.770369
2011-01-14,18.41,18.549999,18.15,18.34,679100,14.999367999999999
2011-01-18,18.299999,18.459999,18.190001000000002,18.219998999999998,894700,14.901225
2011-01-19,18.27,18.27,18.09,18.219998999999998,855100,14.901225
2011-01-20,18.1,18.530001000000002,18.08,18.459999,1051400,15.097509
2011-01-21,18.58,18.84,18.48,18.780001000000002,756600,15.359222
2011-01-24,18.75,18.969998999999998,18.709999,18.83,363000,15.400114000000002
2011-01-25,18.719998999999998,19.0,18.639999,19.0,535400,15.539148999999998
2011-01-26,19.02,19.33,18.969998999999998,19.18,842700,15.686361999999999
