Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,3.71,3.74,3.65,3.68,10462800,3.162673
2010-01-05,3.68,3.77,3.65,3.76,21226600,3.231427
2010-01-06,3.75,3.89,3.72,3.86,18761000,3.3173690000000002
2010-01-07,3.85,4.35,3.83,4.29,66130600,3.686921
2010-01-08,4.23,4.37,4.13,4.22,29869600,3.626761
2010-01-11,4.31,4.44,4.21,4.33,28307500,3.7212980000000004
2010-01-12,4.26,4.42,4.15,4.21,25239200,3.6181669999999997
2010-01-13,4.21,4.34,4.08,4.31,26868200,3.7041089999999994
2010-01-14,4.31,4.45,4.27,4.41,24295600,3.790051
2010-01-15,4.4,4.41,4.22,4.28,17671600,3.6783269999999995
2010-01-19,4.27,4.36,4.21,4.3,15203200,3.6955150000000003
2010-01-20,4.25,4.41,4.23,4.29,20893700,3.686921
2010-01-21,4.38,4.75,4.37,4.53,63969900,3.893182
2010-01-22,4.42,4.87,4.25,4.69,61227600,4.03069
2010-01-25,4.77,4.94,4.65,4.8,34705900,4.1252260000000005
2010-01-26,4.86,4.99,4.6,4.6,45439900,3.9533419999999997
2010-01-27,4.67,4.9,4.65,4.88,34009000,4.193980000000001
2010-01-28,5.08,5.09,4.92,4.99,40498900,4.288516
2010-01-29,5.05,5.05,4.74,4.79,27561700,4.116632
2010-02-01,4.85,4.94,4.78,4.9,18652800,4.211168
2010-02-02,4.88,4.94,4.82,4.93,35142400,4.236951
2010-02-03,4.88,4.9,4.63,4.71,41303100,4.047878
2010-02-04,4.66,4.68,4.46,4.54,35832300,3.9017760000000004
2010-02-05,4.56,4.69,4.4,4.63,25099500,3.9791239999999997
2010-02-08,4.68,4.73,4.53,4.58,17834600,3.936153
2010-02-09,4.66,4.73,4.57,4.65,17433300,3.996313
2010-02-10,4.61,4.75,4.61,4.71,14027800,4.047878
2010-02-11,4.75,4.81,4.68,4.79,16127900,4.116632
2010-02-12,4.71,4.77,4.62,4.68,13711900,4.022094999999999
2010-02-16,4.73,4.82,4.7,4.82,14918600,4.142415
2010-02-17,4.83,4.88,4.73,4.76,12692100,4.0908489999999995
2010-02-18,4.76,4.8,4.69,4.72,11941600,4.056472
2010-02-19,4.72,4.85,4.71,4.85,11149600,4.168197
2010-02-22,4.91,4.95,4.88,4.93,16529800,4.236951
2010-02-23,4.89,4.95,4.8,4.81,13714300,4.13382
2010-02-24,4.86,4.94,4.83,4.89,12362900,4.202573999999999
2010-02-25,4.76,4.84,4.75,4.8,10031300,4.1252260000000005
2010-02-26,4.8,4.84,4.76,4.81,9186500,4.13382
2010-03-01,4.86,4.88,4.75,4.8,7019800,4.1252260000000005
2010-03-02,4.84,4.87,4.79,4.83,11973800,4.151008999999999
2010-03-03,4.84,4.87,4.77,4.81,10153200,4.13382
2010-03-04,4.83,4.84,4.79,4.81,5681800,4.13382
2010-03-05,4.86,4.96,4.82,4.96,14761100,4.262734
2010-03-08,5.0,5.03,4.89,4.96,12788000,4.262734
2010-03-09,4.93,5.14,4.85,5.03,21012700,4.322893
2010-03-10,5.19,5.44,5.15,5.25,39935500,4.511966
2010-03-11,5.3,5.62,5.29,5.4,54603100,4.640879
2010-03-12,5.58,5.62,5.4,5.47,26892500,4.701039
2010-03-15,5.43,5.45,5.27,5.41,22332300,4.649473
2010-03-16,5.48,5.53,5.42,5.53,18207300,4.761405
2010-03-17,5.64,5.81,5.6,5.76,32758400,4.959438
2010-03-18,5.81,5.81,5.47,5.5,32948700,4.735575
2010-03-19,5.51,5.55,5.29,5.32,37237600,4.580592
2010-03-22,5.19,5.52,5.14,5.47,22213500,4.709744000000001
2010-03-23,5.5,5.54,5.38,5.48,24917400,4.718354
