Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,5.36,5.47,5.33,5.42,11754800,4.899181
2010-01-05,5.36,5.61,5.36,5.6,23691300,5.061884
2010-01-06,5.61,5.69,5.55,5.67,22415300,5.125157
2010-01-07,5.66,6.22,5.62,6.17,41430700,5.577111
2010-01-08,6.15,6.29,6.07,6.18,25980300,5.58615
2010-01-11,6.27,6.37,6.07,6.32,27433000,5.7126980000000005
2010-01-12,6.26,6.35,6.2,6.25,32974200,5.649424
2010-01-13,6.22,6.48,6.08,6.36,41055600,5.748854
2010-01-14,6.34,6.57,6.3,6.55,31881500,5.920596
2010-01-15,6.5,6.55,6.27,6.52,28504300,5.893479
2010-01-19,6.41,6.56,6.36,6.51,22996900,5.884440000000001
2010-01-20,6.46,6.74,6.41,6.73,32758200,6.0833
2010-01-21,6.78,7.27,6.76,6.86,81428500,6.200808
2010-01-22,6.8,6.85,6.49,6.6,48623600,5.9657919999999995
2010-01-25,6.6,6.69,6.3,6.55,34139700,5.920596
2010-01-26,6.25,6.47,6.06,6.08,67534400,5.49576
2010-01-27,6.05,6.34,6.05,6.17,38492200,5.577111
2010-01-28,6.35,6.55,6.19,6.43,38907900,5.812126999999999
2010-01-29,6.49,6.57,6.32,6.35,29037400,5.739815
2010-02-01,6.41,6.66,6.39,6.64,30603000,6.0019480000000005
2010-02-02,6.69,6.78,6.5,6.58,35671900,5.947712999999999
2010-02-03,6.48,6.55,6.28,6.39,34371800,5.775971
2010-02-04,6.33,6.34,6.03,6.12,41144000,5.531916000000001
2010-02-05,6.13,6.24,5.91,6.18,24816400,5.58615
2010-02-08,6.18,6.44,6.06,6.23,25259900,5.631346
2010-02-09,6.32,6.45,6.25,6.29,21901600,5.68558
2010-02-10,6.27,6.48,6.25,6.36,18117800,5.748854
2010-02-11,6.42,6.51,6.36,6.38,19687200,5.766932
2010-02-12,6.32,6.39,6.21,6.35,22126400,5.739815
2010-02-16,6.41,6.65,6.36,6.62,17782600,5.98387
2010-02-17,6.66,6.7,6.42,6.46,16534700,5.839245
2010-02-18,6.41,6.46,6.31,6.42,18949400,5.803088
2010-02-19,6.4,6.62,6.39,6.57,14485500,5.938675
2010-02-22,6.6,6.87,6.57,6.81,23729800,6.1556120000000005
2010-02-23,6.73,6.76,6.5,6.53,20854700,5.902518
2010-02-24,6.55,6.7,6.53,6.64,20217300,6.0019480000000005
2010-02-25,6.48,6.57,6.4,6.54,18802500,5.911557
2010-02-26,6.54,6.77,6.5,6.75,19859000,6.1013779999999995
2010-03-01,6.76,6.83,6.55,6.65,16291900,6.010987
2010-03-02,6.67,6.75,6.56,6.61,16207600,5.974831
2010-03-03,6.61,6.69,6.59,6.62,12900100,5.98387
2010-03-04,6.6,6.7,6.58,6.67,11836200,6.029065
2010-03-05,6.74,6.85,6.69,6.84,18875100,6.18273
2010-03-08,6.82,7.02,6.82,6.98,19023600,6.309277
2010-03-09,6.93,7.0,6.76,6.91,22997500,6.246003
2010-03-10,7.01,7.62,6.94,7.29,40783500,6.589488
2010-03-11,7.34,7.46,7.25,7.38,24929300,6.670839999999999
2010-03-12,7.51,7.54,7.27,7.34,29002600,6.634684
2010-03-15,7.28,7.38,7.11,7.23,19977400,6.535254
2010-03-16,7.3,7.53,7.21,7.51,22336300,6.79775
2010-03-17,7.6,7.77,7.55,7.7,25224500,6.96973
2010-03-18,7.73,7.74,7.34,7.5,26623500,6.788697999999999
2010-03-19,7.38,7.6,7.32,7.38,22666300,6.680078999999999
2010-03-22,7.29,7.64,7.16,7.62,19801300,6.897317
2010-03-23,7.62,7.74,7.5,7.73,23056900,6.996885000000001
2010-03-24,7.68,7.9,7.62,7.85,26987400,7.105503999999999
2010-03-25,7.97,8.05,7.65,7.69,35378100,6.960678999999999
2010-03-26,7.75,7.91,7.56,7.63,22603200,6.906369000000001
2010-03-29,7.69,7.78,7.52,7.64,17755000,6.915421
2010-03-30,7.61,7.65,7.5,7.62,12744700,6.897317
2010-03-31,7.55,7.88,7.52,7.85,21527100,7.105503999999999
2010-04-01,7.9,7.94,7.66,7.77,20835000,7.033091000000001
2010-04-05,7.93,8.2,7.84,8.19,28483800,7.413258
2010-04-06,8.18,8.81,8.16,8.55,58256900,7.739116
2010-04-07,8.62,8.9,8.29,8.37,54566600,7.576186999999999
2010-04-08,8.27,8.68,8.2,8.6,32548400,7.784374000000001
2010-04-09,8.65,8.71,8.5,8.59,17760100,7.775322999999999
2010-04-12,8.58,8.92,8.58,8.74,49794500,7.911096000000001
2010-04-13,8.54,8.66,8.34,8.34,38303500,7.5490330000000005
2010-04-14,8.51,8.9,8.44,8.82,36670800,7.983509
2010-04-15,8.8,8.87,8.45,8.53,39132300,7.721013
2010-04-16,8.6,8.6,8.01,8.3,55336900,7.512826
2010-04-19,8.2,8.44,8.04,8.33,29882900,7.539981
2010-04-20,8.25,8.8,8.0,8.8,58631800,7.965406
2010-04-21,8.62,9.33,8.5,8.79,60841600,7.956353999999999
2010-04-22,8.65,8.95,8.57,8.89,28106700,8.046871000000001
2010-04-23,8.95,9.14,8.8,8.95,27691000,8.101180000000001
2010-04-26,9.01,9.05,8.6,8.69,21155500,7.865838
2010-04-27,8.62,8.7,8.37,8.43,39730200,7.630497
2010-04-28,8.56,8.74,8.44,8.49,22352500,7.684806
2010-04-29,8.56,8.72,8.43,8.65,24888900,7.829632000000001
2010-04-30,8.59,8.89,8.54,8.84,30368300,8.001613
2010-05-03,8.85,8.96,8.71,8.84,20912900,8.001613
2010-05-04,8.74,8.83,8.5,8.58,25258700,7.766271000000001
2010-05-05,8.4,8.82,8.2,8.67,24758100,7.847735000000001
2010-05-06,8.61,8.75,7.59,8.21,43556500,7.431361999999999
2010-05-07,8.25,8.38,7.75,7.99,46609300,7.232226
2010-05-10,8.41,8.66,8.3,8.51,28882900,7.70291
2010-05-11,8.28,8.86,8.28,8.67,32127900,7.847735000000001
2010-05-12,8.74,8.88,8.71,8.81,20856400,7.974458
2010-05-13,8.77,8.96,8.72,8.74,17484400,7.911096000000001
2010-05-14,8.51,8.51,8.09,8.26,34245400,7.47662
2010-05-17,8.25,8.35,7.96,8.27,27055800,7.485672
2010-05-18,8.39,8.42,7.67,7.92,28755000,7.168864999999999
2010-05-19,7.84,8.01,7.6,7.82,36775400,7.07835
2010-05-20,7.52,7.6,7.24,7.25,40050400,6.5624080000000005
2010-05-21,7.08,7.52,7.0,7.47,42828400,6.761543
2010-05-24,7.48,7.49,7.2,7.2,20185700,6.51715
2010-05-25,6.93,7.48,6.85,7.45,35971100,6.74344
