Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,7.06,7.1,6.89,6.96,307500,6.369264
2015-01-05,6.89,6.89,6.51,6.55,314700,5.994063
2015-01-06,6.78,7.32,6.73,7.25,1479900,6.63465
2015-01-07,7.39,7.48,7.21,7.38,552400,6.753616
2015-01-08,7.5,7.95,7.48,7.86,951700,7.192875999999999
2015-01-09,7.95,8.12,7.68,7.75,589400,7.092212
2015-01-12,7.76,8.17,7.64,8.04,1736400,7.357597999999999
2015-01-13,8.2,8.47,8.05,8.12,1401100,7.430808
2015-01-14,8.05,8.2,7.71,7.98,1155200,7.302689999999999
2015-01-15,8.0,8.0,7.59,7.7,581700,7.046456
2015-01-16,7.61,7.8,7.53,7.73,416000,7.073909
2015-01-20,7.74,7.84,7.38,7.44,518500,6.808522999999999
2015-01-21,7.45,7.53,7.16,7.21,726200,6.598045
2015-01-22,7.2,7.55,7.12,7.49,862000,6.854278999999999
2015-01-23,7.54,7.84,7.5,7.77,741500,7.110514
2015-01-26,7.77,7.9,7.76,7.85,594500,7.183724000000001
2015-01-27,7.78,7.89,7.54,7.55,331000,6.909186999999999
2015-01-28,7.5,7.5,7.08,7.1,529400,6.497381
2015-01-29,7.2,7.2,6.78,7.19,844400,6.5797419999999995
2015-01-30,7.13,7.14,6.82,6.9,741400,6.314357
2015-02-02,6.97,7.07,6.88,7.01,656900,6.415019999999999
2015-02-03,7.08,7.29,7.04,7.07,366000,6.4699279999999995
2015-02-04,7.07,7.25,7.03,7.15,429200,6.543138
2015-02-05,7.19,7.28,7.16,7.16,334600,6.552289
2015-02-06,7.17,7.23,7.04,7.09,483900,6.488230000000001
2015-02-09,7.11,7.18,6.96,6.97,293900,6.378415
2015-02-10,6.92,7.04,6.77,6.91,508200,6.378415
2015-02-11,6.9,7.05,6.81,7.01,291700,6.470722
2015-02-12,7.01,7.22,7.01,7.14,241300,6.590721
2015-02-13,7.22,7.26,7.14,7.22,190300,6.664567
2015-02-17,7.27,7.63,7.25,7.46,546000,6.886104
2015-02-18,7.45,7.61,7.45,7.5,236500,6.923025999999999
2015-02-19,7.47,7.62,7.43,7.43,229500,6.858411
2015-02-20,7.58,7.59,7.35,7.39,365700,6.821489
2015-02-23,7.4,7.61,7.4,7.55,915500,6.969180000000001
2015-02-24,7.57,7.59,7.48,7.51,463200,6.932257000000001
2015-02-25,7.49,7.71,7.47,7.58,242700,6.996872
2015-02-26,7.59,7.68,7.44,7.56,525400,6.978411
2015-02-27,7.6,7.6,7.5,7.5,188500,6.923025999999999
2015-03-02,7.46,7.59,7.45,7.47,223800,6.895334
2015-03-03,7.51,7.59,7.34,7.35,273200,6.784566000000001
2015-03-04,7.31,7.39,7.25,7.32,177600,6.756874000000001
2015-03-05,7.34,7.36,7.14,7.14,218200,6.590721
2015-03-06,7.13,7.16,7.03,7.11,288700,6.563028999999999
2015-03-09,7.12,7.13,7.05,7.06,243200,6.516876
2015-03-10,7.0,7.11,6.93,7.0,405400,6.4614910000000005
2015-03-11,7.0,7.31,7.0,7.29,303300,6.729182000000001
2015-03-12,7.32,7.45,7.31,7.37,214800,6.803027
2015-03-13,7.35,7.39,7.07,7.28,288400,6.719950999999999
2015-03-16,7.26,7.42,7.16,7.39,241900,6.821489
2015-03-17,7.45,7.58,7.35,7.54,234500,6.959949000000001
2015-03-18,7.6,7.64,7.43,7.6,509800,7.015333
2015-03-19,7.79,8.0,7.57,7.83,703000,7.227639999999999
2015-03-20,7.87,7.96,7.76,7.8,939900,7.199948
2015-03-23,7.84,7.9,7.75,7.79,883100,7.190717
2015-03-24,7.82,8.3,7.8,8.12,1155900,7.49533
2015-03-25,8.15,8.22,7.96,8.2,567900,7.569175
2015-03-26,8.21,8.46,8.03,8.03,728900,7.412253
2015-03-27,8.02,8.27,7.96,8.22,536700,7.587637
2015-03-30,8.3,8.33,7.97,8.18,604500,7.550714
2015-03-31,8.16,8.25,8.02,8.18,459200,7.550714
2015-04-01,8.23,8.45,8.19,8.41,621100,7.76302
2015-04-02,8.41,8.64,8.33,8.63,592500,7.966096
2015-04-06,8.64,9.02,8.41,9.01,972400,8.316863
2015-04-07,8.82,8.93,8.63,8.67,787700,8.003019
2015-04-08,8.71,8.92,8.56,8.68,571100,8.01225
2015-04-09,8.72,8.88,8.7,8.79,390400,8.113787
2015-04-10,8.83,9.0,8.78,8.91,432500,8.224555
2015-04-13,9.0,9.01,8.9,8.94,740600,8.252247
2015-04-14,9.0,9.01,8.8,8.87,646500,8.187633
2015-04-15,8.94,9.28,8.92,9.16,1537600,8.455323
2015-04-16,9.15,9.21,8.93,8.99,1007000,8.298401
2015-04-17,8.93,9.06,8.92,9.05,638000,8.353785
2015-04-20,9.07,9.28,9.0,9.18,586500,8.473785000000001
2015-04-21,9.18,9.43,9.18,9.37,1059700,8.649168
2015-04-22,9.33,9.44,9.17,9.19,748600,8.483015
2015-04-23,9.09,9.41,9.07,9.22,665400,8.510707
2015-04-24,9.22,9.58,9.21,9.49,746600,8.759936
2015-04-27,9.57,9.57,9.32,9.36,599400,8.639937
2015-04-28,9.39,9.51,9.32,9.48,533800,8.750705
2015-04-29,9.46,9.53,9.26,9.3,419600,8.584553
2015-04-30,9.33,9.33,8.94,9.18,684000,8.473785000000001
2015-05-01,9.16,9.25,9.06,9.12,291800,8.4184
2015-05-04,9.13,9.5,9.12,9.18,542200,8.473785000000001
2015-05-05,9.23,9.3,8.89,9.05,569400,8.353785
2015-05-06,9.1,9.18,8.97,9.03,423600,8.335324
2015-05-07,8.98,9.0,8.75,8.83,511200,8.15071
2015-05-08,8.86,9.13,8.8,9.06,409900,8.363016
2015-05-11,9.13,9.22,9.0,9.14,478700,8.436862
2015-05-12,9.15,9.18,8.91,9.01,371900,8.316863
2015-05-13,9.11,9.2,8.85,9.0,441400,8.307632
2015-05-14,9.51,9.77,9.26,9.55,1058000,8.815321
2015-05-15,9.6,9.69,9.44,9.5,813400,8.769167
2015-05-18,9.66,9.68,9.4,9.5,611100,8.769167
